row_id,tier,source_key,source_citation,source_doi,source_table,source_case_id,origin_refs,origin_citations,paper_split,split,perveance_uperv,rw_mm,C,theta_cone_deg,theta_source,theta_ann_panahi_deg,theta_iterative_deg,theta_noniterative_deg,theta_modified_noniter_deg,beam_type,rc_mm,Rc_mm,derived_fields,generator_mre_pct,generator_envelope,orig_units,notes
SYN-00011,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.7700,1.8300,29.8600,24.2610,physics_generator,,24.2610,,,pencil,9.9999,24.3370,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 21"
SYN-00012,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.5300,1.8200,30.1900,20.0708,physics_generator,,20.0708,,,pencil,10.0001,29.1393,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 22"
SYN-00013,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.3200,1.4600,46.9100,16.6258,physics_generator,,16.6258,,,pencil,9.9997,34.9492,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 23"
SYN-00014,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.3000,2.0100,24.7500,14.5225,physics_generator,,14.5225,,,pencil,9.9996,39.8773,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 24"
SYN-00015,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.5500,0.9400,11.4100,16.5981,physics_generator,,16.5981,,,pencil,3.1752,11.1155,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 25"
SYN-00016,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.3800,0.7700,9.3100,12.9568,physics_generator,,12.9568,,,pencil,2.3494,10.4785,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 30"
SYN-00017,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.0372,1.8618,23.3913,48.1446,physics_generator,,48.1446,,,pencil,9.0046,12.0894,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00018,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.8679,2.5361,52.1643,28.1807,physics_generator,,28.1807,,,pencil,18.3170,38.7864,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00019,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.3516,0.8758,15.9549,28.6178,physics_generator,,28.6178,,,pencil,3.4983,7.3039,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00020,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.5838,3.7093,224.8590,63.7615,physics_generator,,63.7615,,,pencil,55.6220,62.0115,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00021,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.0492,1.0429,92.3412,48.7789,physics_generator,,48.7789,,,pencil,10.0216,13.3236,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00022,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.6734,4.3725,32.6822,37.0411,physics_generator,,37.0411,,,pencil,24.9967,41.4960,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00023,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.3335,2.2122,152.0602,19.5788,physics_generator,,19.5788,,,pencil,27.2790,81.4049,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00024,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.3597,3.3904,8.5005,38.2161,physics_generator,,38.2161,,,pencil,9.8849,15.9787,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00025,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.5251,3.8104,10.9845,16.0404,physics_generator,,16.0404,,,pencil,12.6289,45.7048,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00026,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.8555,1.6502,120.0528,47.7054,physics_generator,,47.7054,,,pencil,18.0809,24.4437,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00027,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.2360,2.9525,42.3277,45.4382,physics_generator,,45.4382,,,pencil,19.2086,26.9596,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00028,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.7639,2.2998,19.5107,43.8524,physics_generator,,43.8524,,,pencil,10.1583,14.6626,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00029,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.5398,3.0981,275.9033,47.2366,physics_generator,,47.2366,,,pencil,51.4606,70.0942,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00030,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.0532,1.4378,28.5401,28.3081,physics_generator,,28.3081,,,pencil,7.6813,16.1981,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00031,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.2277,4.1473,63.8619,60.6990,physics_generator,,60.6990,,,pencil,33.1428,38.0052,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00032,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.0889,1.2862,11.4799,40.4872,physics_generator,,40.4872,,,pencil,4.3578,6.7118,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00033,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.0059,4.1128,163.6943,35.1622,physics_generator,,35.1622,,,pencil,52.6208,91.3726,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00034,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.3730,2.4606,48.1438,35.4989,physics_generator,,35.4989,,,pencil,17.0730,29.4014,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00035,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.6915,3.1261,108.4347,58.9407,physics_generator,,58.9407,,,pencil,32.5528,38.0008,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00036,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.3764,1.6217,296.2346,62.4767,physics_generator,,62.4767,,,pencil,27.9118,31.4740,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00037,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.9011,2.7911,16.6356,34.5481,physics_generator,,34.5481,,,pencil,11.3841,20.0743,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00038,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.6902,0.6389,79.3415,26.4564,physics_generator,,26.4564,,,pencil,5.6907,12.7733,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00039,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.6168,3.9616,28.1560,55.4677,physics_generator,,55.4677,,,pencil,21.0212,25.5171,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00040,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.4317,2.0587,61.0718,62.6440,physics_generator,,62.6440,,,pencil,16.0881,18.1138,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00041,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.5004,3.3541,21.7459,18.3674,physics_generator,,18.3674,,,pencil,15.6410,49.6368,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00042,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.7208,1.2019,228.3298,49.3800,physics_generator,,49.3800,,,pencil,18.1611,23.9263,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00043,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.1876,4.3987,12.8657,34.8451,physics_generator,,34.8451,,,pencil,15.7775,27.6139,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00044,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.5101,0.8491,39.4515,47.9230,physics_generator,,47.9230,,,pencil,5.3334,7.1855,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00045,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.1864,3.5498,88.5176,35.7374,physics_generator,,35.7374,,,pencil,33.3981,57.1815,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00046,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.8222,1.8976,9.3946,19.1844,physics_generator,,19.1844,,,pencil,5.8163,17.6998,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
SYN-00047,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.8971,2.6891,133.4469,63.8670,physics_generator,,63.8670,,,pencil,31.0647,34.6020,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62."
